year,facility,total emissions
2015,Grant County Landfill 1 - Ephrata,40606
2018,Puget Sound Energy LDC - supplier,5445900
2021,McCain Foods - Othello,67901
2019,Lamb Weston - Connell,36114
2018,Sierra Pacific Industries - Aberdeen,247114
2016,"WestRock CP, LLC - Tacoma",1134873
2013,SDS Lumber Company - Bingen,106615
2018,Michelsen Packaging - Yakima,10989
2020,"Solvay Chemicals, Inc. - Longview",41272
2020,"SEH America, Inc - Vancouver",10896
2012,King County Solid Waste Cedar Hills Landfill - Maple Valley,99258
2015,Spectrum Glass Company - Woodinville,10750
2021,Lamb Weston - Richland,84268
2020,Northwest Pipeline C/S - Goldendale,27717
2012,Northwest Pipeline C/S - Sumner,18199
2018,Port Townsend Paper Corporation - Port Townsend,590918
2015,Darigold - Chehalis,14732
2017,Guy Bennett Lumber Company - Clarkston,20024
2021,Spokane Waste to Energy Facility - Spokane,242787
2021,"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",52380
2021,U.S. Oil & Refining Co. - Tacoma,134326
2012,Roosevelt Regional Landfill - Roosevelt,270943
2017,Northwest Pipeline C/S - Snohomish,51798
2020,Tree Top - Prosser,17983
2019,J.R. Simplot Company - Othello,92473
2013,Naval Base Kitsap - Bremerton,46551
2012,Boulder Park Generating Station - Spokane Valley,2700
2020,Puget Sound Energy - Frederickson Generating Station - Tacoma,24854
2015,"Emerald Kalama Chemical, LLC - Kalama",66817
2016,REG Grays Harbor LLC - Hoquiam,18051
2015,Northwest Pipeline C/S - Chehalis,29670
2013,bp Cherry Point Refinery - Blaine,2206320
2018,NW Natural - supplier,444313
2013,Seattle-Tacoma International Airport - Seattle,16308
2018,Puget Sound Energy - Mint Farm Generating Station - Longview,547916
2017,Alon Asphalt Company - Seattle,14818
2013,The Boeing Company - Auburn Site - Auburn,38558
2020,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,55421
2016,Matheson - Anacortes,55071
2013,TransAlta Centralia Generation LLC - Centralia,7547845
2013,Lamb Weston - Connell,39841
2015,Naval Base Kitsap Bangor - Silverdale,20166
